,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b0,0.046875,0.0732421875,0.10611979166666667,0.15462239583333334,0.19205729166666666,0.220703125,0.271484375,0.2955729166666667,0.3365885416666667,0.3743489583333333,0.41015625,0.4153645833333333,0.4557291666666667,0.4661458333333333,0.4947916666666667,0.5,0.5065104166666666,0.5338541666666666,0.5390625,0.5546875
baseline,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625
efficientnet-b1,0.5520833333333334,0.578125,0.57421875,0.5807291666666666,0.5768229166666666,0.5872395833333334,0.5989583333333334,0.6080729166666666,0.6171875,0.6171875,0.6223958333333334,0.6302083333333334,0.6302083333333334,0.6302083333333334,0.6471354166666666,0.64453125,0.63671875,0.6497395833333334,0.6497395833333334,0.6458333333333334
efficientnet-b2,0.5572916666666666,0.5611979166666666,0.5768229166666666,0.59375,0.5911458333333334,0.5950520833333334,0.6119791666666666,0.6106770833333334,0.6276041666666666,0.6223958333333334,0.6328125,0.6223958333333334,0.63671875,0.6380208333333334,0.63671875,0.65625,0.6471354166666666,0.6510416666666666,0.6614583333333334,0.6653645833333334
