,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_14,0.325390625,0.4109375,0.44609375,0.50625,0.5265625,0.553125,0.584375,0.6078125,0.64453125,0.6734375,0.67890625,0.67890625,0.7203125,0.71875,0.7125,0.7375,0.74453125,0.74375,0.75234375,0.775
baseline,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125,0.85078125
resnet_20,0.7747395833333334,0.79296875,0.8072916666666666,0.80859375,0.8111979166666666,0.81640625,0.8177083333333334,0.82421875,0.8216145833333334,0.828125,0.8255208333333334,0.8294270833333334,0.82421875,0.828125,0.83203125,0.8307291666666666,0.8294270833333334,0.83203125,0.83203125,0.83203125
resnet_26,0.6731770833333334,0.7200520833333334,0.74609375,0.76171875,0.7734375,0.7825520833333334,0.7903645833333334,0.7890625,0.796875,0.796875,0.796875,0.7955729166666666,0.7994791666666666,0.8020833333333334,0.8046875,0.8046875,0.8072916666666666,0.8125,0.8125,0.8138020833333334
resnet_32,0.5872395833333334,0.6484375,0.6848958333333334,0.7096354166666666,0.72265625,0.7369791666666666,0.7473958333333334,0.7591145833333334,0.7630208333333334,0.7643229166666666,0.7721354166666666,0.76953125,0.7786458333333334,0.78125,0.7838541666666666,0.7877604166666666,0.7838541666666666,0.7903645833333334,0.7877604166666666,0.7955729166666666
