,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_14,0.09130859375,0.1396484375,0.1791015625,0.2126953125,0.244140625,0.280078125,0.30703125,0.330078125,0.32265625,0.37265625,0.373828125,0.383984375,0.39296875,0.3921875,0.409375,0.419921875,0.42578125,0.432421875,0.427734375,0.44921875
baseline,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
resnet_20,0.4381510416666667,0.4563802083333333,0.466796875,0.470703125,0.4778645833333333,0.4811197916666667,0.4856770833333333,0.48828125,0.4869791666666667,0.4928385416666667,0.494140625,0.4954427083333333,0.4954427083333333,0.49609375,0.49609375,0.498046875,0.4973958333333333,0.498046875,0.4967447916666667,0.4973958333333333
resnet_26,0.3274739583333333,0.3626302083333333,0.3802083333333333,0.392578125,0.4069010416666667,0.41015625,0.4205729166666667,0.423828125,0.4322916666666667,0.4296875,0.4348958333333333,0.4388020833333333,0.4427083333333333,0.4446614583333333,0.4485677083333333,0.44921875,0.447265625,0.4518229166666667,0.4544270833333333,0.4557291666666667
resnet_32,0.275390625,0.314453125,0.3385416666666667,0.3567708333333333,0.3678385416666667,0.373046875,0.3873697916666667,0.3984375,0.40234375,0.4055989583333333,0.4075520833333333,0.4153645833333333,0.41796875,0.419921875,0.4251302083333333,0.4290364583333333,0.4303385416666667,0.435546875,0.4375,0.4381510416666667
