,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b2,0.2652994791666667,0.3815104166666667,0.4576822916666667,0.515625,0.6197916666666666,0.6692708333333334,0.7109375,0.7447916666666666,0.75,0.77734375,0.796875,0.80859375,0.8216145833333334,0.828125,0.8307291666666666,0.8333333333333334,0.8541666666666666,0.8528645833333334,0.8567708333333334,0.859375
baseline,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666,0.9049479166666666
efficientnet-b0,0.8893229166666666,0.890625,0.8932291666666666,0.9010416666666666,0.9049479166666666,0.90625,0.888671875,0.8984375,0.8984375,0.904296875,0.900390625,0.890625,0.90234375,0.8984375,0.904296875,0.90625,0.90625,0.900390625,0.8984375,0.89453125
efficientnet-b1,0.908203125,0.912109375,0.91015625,0.908203125,0.91015625,0.9140625,0.91015625,0.9140625,0.916015625,0.916015625,0.916015625,0.9140625,0.908203125,0.908203125,0.916015625,0.912109375,0.9140625,0.916015625,0.916015625,0.916015625
