,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b2,0.053385416666666664,0.10416666666666667,0.162109375,0.19075520833333334,0.2649739583333333,0.3365885416666667,0.3795572916666667,0.3919270833333333,0.4361979166666667,0.470703125,0.4967447916666667,0.5247395833333334,0.5390625,0.5533854166666666,0.55859375,0.5846354166666666,0.5794270833333334,0.59765625,0.5989583333333334,0.5963541666666666
baseline,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666,0.6783854166666666
efficientnet-b0,0.59765625,0.609375,0.6119791666666666,0.6158854166666666,0.6171875,0.6223958333333334,0.6276041666666666,0.6302083333333334,0.640625,0.6393229166666666,0.64453125,0.6497395833333334,0.6458333333333334,0.6484375,0.6588541666666666,0.6575520833333334,0.6614583333333334,0.6627604166666666,0.6666666666666666,0.6627604166666666
efficientnet-b1,0.5533854166666666,0.578125,0.5807291666666666,0.59375,0.5950520833333334,0.6015625,0.5540364583333334,0.6106770833333334,0.625,0.6028645833333334,0.609375,0.6328125,0.6328125,0.6302083333333334,0.625,0.6471354166666666,0.6419270833333334,0.6510416666666666,0.6510416666666666,0.66015625
