,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_narrow_14,0.323046875,0.41015625,0.46015625,0.48671875,0.55703125,0.5890625,0.58984375,0.6171875,0.63203125,0.63828125,0.684375,0.68671875,0.7015625,0.72265625,0.71640625,0.71875,0.73359375,0.7484375,0.73515625,0.7453125
baseline,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875,0.821875
resnet_14,0.5,0.58203125,0.6223958333333334,0.65625,0.6731770833333334,0.6888020833333334,0.6979166666666666,0.7096354166666666,0.7161458333333334,0.71875,0.7252604166666666,0.7291666666666666,0.7317708333333334,0.73828125,0.7369791666666666,0.7408854166666666,0.7408854166666666,0.7447916666666666,0.7447916666666666,0.75
resnet_wide_14,0.3880208333333333,0.4700520833333333,0.5143229166666666,0.5481770833333334,0.5677083333333334,0.5807291666666666,0.6002604166666666,0.5924479166666666,0.6041666666666666,0.6223958333333334,0.6197916666666666,0.6302083333333334,0.63671875,0.6419270833333334,0.6458333333333334,0.6432291666666666,0.65234375,0.6575520833333334,0.6588541666666666,0.6549479166666666
