,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_wide_14,0.294140625,0.394140625,0.429296875,0.4625,0.50859375,0.53125,0.55390625,0.5734375,0.6015625,0.63671875,0.6484375,0.68203125,0.68984375,0.703125,0.72734375,0.734375,0.74921875,0.74921875,0.75859375,0.77265625
baseline,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625
resnet_14,0.83203125,0.8424479166666666,0.8424479166666666,0.8450520833333334,0.84375,0.8489583333333334,0.8450520833333334,0.8463541666666666,0.8450520833333334,0.8528645833333334,0.8489583333333334,0.84765625,0.8502604166666666,0.8489583333333334,0.8515625,0.8502604166666666,0.8528645833333334,0.8580729166666666,0.85546875,0.8541666666666666
resnet_narrow_14,0.40234375,0.451171875,0.4967447916666667,0.5279947916666666,0.5572916666666666,0.5546875,0.5768229166666666,0.57421875,0.5989583333333334,0.62890625,0.6354166666666666,0.640625,0.6432291666666666,0.6692708333333334,0.6888020833333334,0.67578125,0.7018229166666666,0.7018229166666666,0.6901041666666666,0.7200520833333334
