,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_narrow_14,0.08818359375,0.135546875,0.1724609375,0.1955078125,0.2201171875,0.2572265625,0.271875,0.30078125,0.315625,0.313671875,0.318359375,0.333984375,0.34296875,0.34453125,0.355859375,0.366015625,0.3609375,0.377734375,0.381640625,0.38125
baseline,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625,0.475390625
resnet_14,0.14615885416666666,0.19596354166666666,0.228515625,0.2513020833333333,0.2662760416666667,0.283203125,0.294921875,0.302734375,0.3092447916666667,0.3138020833333333,0.3203125,0.3248697916666667,0.328125,0.3333333333333333,0.3359375,0.3372395833333333,0.3385416666666667,0.33984375,0.3404947916666667,0.33984375
resnet_wide_14,0.076171875,0.10807291666666667,0.13020833333333334,0.14615885416666666,0.15559895833333334,0.17415364583333334,0.18294270833333334,0.1884765625,0.19661458333333334,0.20768229166666666,0.2109375,0.2197265625,0.21842447916666666,0.22200520833333334,0.2265625,0.22786458333333334,0.228515625,0.23567708333333334,0.23958333333333334,0.24088541666666666
