,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_20,0.075,0.117578125,0.1486328125,0.181640625,0.2087890625,0.262109375,0.268359375,0.30078125,0.326953125,0.347265625,0.36171875,0.38828125,0.3921875,0.384375,0.41015625,0.404296875,0.419921875,0.41640625,0.43203125,0.454296875
baseline,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125,0.56328125
resnet_14,0.5221354166666666,0.5286458333333334,0.5325520833333334,0.53515625,0.5364583333333334,0.5377604166666666,0.5403645833333334,0.5403645833333334,0.54296875,0.5390625,0.54296875,0.5416666666666666,0.54296875,0.54296875,0.5442708333333334,0.546875,0.5442708333333334,0.54296875,0.546875,0.5455729166666666
resnet_26,0.4798177083333333,0.4889322916666667,0.4973958333333333,0.505859375,0.5065104166666666,0.5182291666666666,0.5169270833333334,0.5208333333333334,0.5221354166666666,0.51953125,0.5260416666666666,0.5260416666666666,0.5247395833333334,0.5260416666666666,0.52734375,0.5286458333333334,0.5338541666666666,0.5325520833333334,0.5325520833333334,0.5364583333333334
resnet_32,0.40625,0.4407552083333333,0.4563802083333333,0.4733072916666667,0.478515625,0.4837239583333333,0.4856770833333333,0.4850260416666667,0.4921875,0.49609375,0.49609375,0.4986979166666667,0.50390625,0.5065104166666666,0.505859375,0.5071614583333334,0.5104166666666666,0.5104166666666666,0.5104166666666666,0.5104166666666666
