,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b0,0.33203125,0.4303385416666667,0.482421875,0.5807291666666666,0.6458333333333334,0.6888020833333334,0.7278645833333334,0.7408854166666666,0.7786458333333334,0.7903645833333334,0.7981770833333334,0.81640625,0.8294270833333334,0.8294270833333334,0.83984375,0.8372395833333334,0.84765625,0.8502604166666666,0.8541666666666666,0.8580729166666666
baseline,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625
semnasnet_100,0.7981770833333334,0.82421875,0.8294270833333334,0.84375,0.8502604166666666,0.85546875,0.8580729166666666,0.8658854166666666,0.86328125,0.8697916666666666,0.8645833333333334,0.8736979166666666,0.8736979166666666,0.8763020833333334,0.87890625,0.87890625,0.8776041666666666,0.8828125,0.8841145833333334,0.8841145833333334
mnasnet_100,0.7747395833333334,0.8151041666666666,0.8294270833333334,0.8385416666666666,0.8463541666666666,0.85546875,0.8567708333333334,0.8580729166666666,0.8658854166666666,0.8684895833333334,0.8684895833333334,0.8684895833333334,0.87109375,0.8736979166666666,0.8763020833333334,0.87109375,0.87890625,0.8776041666666666,0.8802083333333334,0.8828125
mixnet_s,0.3483072916666667,0.4296875,0.4928385416666667,0.5390625,0.5755208333333334,0.59765625,0.6276041666666666,0.6484375,0.66796875,0.6731770833333334,0.6940104166666666,0.7109375,0.7161458333333334,0.73046875,0.73828125,0.7473958333333334,0.75,0.7578125,0.76171875,0.7630208333333334
tf_mobilenetv3_large_minimal_100,0.5625,0.6666666666666666,0.7109375,0.7434895833333334,0.7578125,0.7734375,0.78515625,0.7916666666666666,0.7981770833333334,0.80859375,0.8203125,0.8190104166666666,0.8216145833333334,0.8268229166666666,0.8333333333333334,0.8333333333333334,0.8385416666666666,0.84375,0.8411458333333334,0.8463541666666666
regnety_004,0.2727864583333333,0.361328125,0.40625,0.453125,0.4895833333333333,0.5325520833333334,0.5755208333333334,0.587890625,0.59375,0.623046875,0.626953125,0.65625,0.66015625,0.67578125,0.673828125,0.68359375,0.697265625,0.703125,0.703125,0.716796875
