,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_20,0.3109375,0.38203125,0.43359375,0.484765625,0.515625,0.559375,0.57890625,0.59296875,0.603125,0.63046875,0.66171875,0.66640625,0.7046875,0.7046875,0.71171875,0.72734375,0.74453125,0.7328125,0.75546875,0.76875
baseline,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125,0.8578125
resnet_14,0.8177083333333334,0.83203125,0.8411458333333334,0.83984375,0.84375,0.8450520833333334,0.8450520833333334,0.84375,0.8450520833333334,0.84765625,0.8489583333333334,0.8463541666666666,0.8489583333333334,0.8463541666666666,0.8489583333333334,0.84765625,0.8502604166666666,0.8515625,0.8502604166666666,0.8502604166666666
resnet_26,0.8203125,0.8294270833333334,0.8294270833333334,0.8333333333333334,0.8385416666666666,0.83984375,0.83984375,0.8411458333333334,0.84375,0.8463541666666666,0.84765625,0.8463541666666666,0.8502604166666666,0.84765625,0.84765625,0.8502604166666666,0.8528645833333334,0.8502604166666666,0.8528645833333334,0.8528645833333334
resnet_32,0.7330729166666666,0.7604166666666666,0.7799479166666666,0.79296875,0.8033854166666666,0.8059895833333334,0.8111979166666666,0.8151041666666666,0.8190104166666666,0.8190104166666666,0.8229166666666666,0.8268229166666666,0.8268229166666666,0.8268229166666666,0.8294270833333334,0.8294270833333334,0.8346354166666666,0.828125,0.8294270833333334,0.8333333333333334
