,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_14,0.09130859375,0.1396484375,0.1791015625,0.2126953125,0.244140625,0.280078125,0.30703125,0.330078125,0.32265625,0.37265625,0.373828125,0.383984375,0.39296875,0.3921875,0.409375,0.419921875,0.42578125,0.432421875,0.427734375,0.44921875
baseline,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
resnet_narrow_14,0.08268229166666667,0.12076822916666667,0.1484375,0.16536458333333334,0.177734375,0.19466145833333334,0.2060546875,0.21614583333333334,0.22981770833333334,0.244140625,0.24348958333333334,0.2545572916666667,0.2649739583333333,0.2682291666666667,0.2766927083333333,0.28125,0.2942708333333333,0.2955729166666667,0.3020833333333333,0.3046875
resnet_wide_14,0.2265625,0.294921875,0.3346354166666667,0.3587239583333333,0.3736979166666667,0.38671875,0.3977864583333333,0.4075520833333333,0.4095052083333333,0.4205729166666667,0.423828125,0.427734375,0.4309895833333333,0.4348958333333333,0.4407552083333333,0.4440104166666667,0.4440104166666667,0.4459635416666667,0.4459635416666667,0.4479166666666667
resnet_narrow_20,0.08154296875,0.1201171875,0.14778645833333334,0.17220052083333334,0.18684895833333334,0.20963541666666666,0.22819010416666666,0.2392578125,0.2513020833333333,0.259765625,0.267578125,0.2766927083333333,0.28515625,0.2936197916666667,0.3001302083333333,0.3020833333333333,0.3098958333333333,0.3131510416666667,0.31640625,0.3196614583333333
resnet_wide_20,0.10953776041666667,0.16080729166666666,0.1943359375,0.22526041666666666,0.2552083333333333,0.2727864583333333,0.2838541666666667,0.2903645833333333,0.3014322916666667,0.3079427083333333,0.314453125,0.3229166666666667,0.33203125,0.33984375,0.3404947916666667,0.3463541666666667,0.361328125,0.353515625,0.359375,0.365234375
