,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_32,0.2501953125,0.3359375,0.3984375,0.448046875,0.495703125,0.512890625,0.53125,0.559765625,0.565625,0.63125,0.64453125,0.6484375,0.6765625,0.690625,0.71640625,0.73203125,0.71640625,0.75859375,0.75078125,0.76328125
baseline,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375,0.8609375
resnet_14,0.734375,0.76171875,0.77734375,0.7916666666666666,0.79296875,0.80078125,0.80859375,0.8098958333333334,0.8138020833333334,0.8177083333333334,0.8190104166666666,0.8177083333333334,0.8216145833333334,0.8229166666666666,0.8268229166666666,0.8268229166666666,0.8255208333333334,0.828125,0.8307291666666666,0.828125
resnet_20,0.8359375,0.8411458333333334,0.8385416666666666,0.84375,0.8489583333333334,0.84765625,0.8515625,0.84765625,0.8515625,0.84765625,0.8502604166666666,0.8515625,0.8515625,0.8515625,0.8528645833333334,0.8528645833333334,0.8528645833333334,0.85546875,0.8528645833333334,0.8580729166666666
resnet_26,0.8385416666666666,0.8450520833333334,0.84765625,0.84765625,0.8502604166666666,0.8541666666666666,0.8528645833333334,0.85546875,0.8515625,0.8567708333333334,0.8528645833333334,0.8541666666666666,0.8567708333333334,0.8567708333333334,0.8567708333333334,0.8450520833333334,0.8580729166666666,0.859375,0.8567708333333334,0.85546875
