,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b0,0.33203125,0.4303385416666667,0.482421875,0.5807291666666666,0.6458333333333334,0.6888020833333334,0.7278645833333334,0.7408854166666666,0.7786458333333334,0.7903645833333334,0.7981770833333334,0.81640625,0.8294270833333334,0.8294270833333334,0.83984375,0.8372395833333334,0.84765625,0.8502604166666666,0.8541666666666666,0.8580729166666666
baseline,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625
efficientnet-b1,0.875,0.87890625,0.8815104166666666,0.8880208333333334,0.88671875,0.88671875,0.890625,0.8919270833333334,0.8932291666666666,0.89453125,0.8932291666666666,0.8932291666666666,0.8958333333333334,0.8984375,0.8971354166666666,0.8984375,0.8971354166666666,0.8984375,0.8958333333333334,0.8997395833333334
efficientnet-b2,0.83984375,0.8541666666666666,0.8619791666666666,0.8658854166666666,0.8684895833333334,0.8697916666666666,0.875,0.87109375,0.875,0.875,0.87890625,0.8802083333333334,0.8776041666666666,0.8776041666666666,0.8828125,0.8828125,0.8841145833333334,0.8880208333333334,0.88671875,0.88671875
