,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b0,0.046875,0.0732421875,0.10611979166666667,0.15462239583333334,0.19205729166666666,0.220703125,0.271484375,0.2955729166666667,0.3365885416666667,0.3743489583333333,0.41015625,0.4153645833333333,0.4557291666666667,0.4661458333333333,0.4947916666666667,0.5,0.5065104166666666,0.5338541666666666,0.5390625,0.5546875
baseline,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625
10,0.4192708333333333,0.4361979166666667,0.4895833333333333,0.4837239583333333,0.47265625,0.5247395833333334,0.53125,0.5638020833333334,0.5638020833333334,0.5598958333333334,0.58203125,0.59765625,0.5924479166666666,0.5989583333333334,0.6106770833333334,0.609375,0.6158854166666666,0.6158854166666666,0.6263020833333334,0.6341145833333334
20,0.5208333333333334,0.5299479166666666,0.5455729166666666,0.5638020833333334,0.5833333333333334,0.5807291666666666,0.5924479166666666,0.58984375,0.6119791666666666,0.6106770833333334,0.6236979166666666,0.6171875,0.62890625,0.62890625,0.6380208333333334,0.6380208333333334,0.6328125,0.6380208333333334,0.6432291666666666,0.6510416666666666
30,0.5520833333333334,0.5598958333333334,0.5651041666666666,0.5833333333333334,0.5989583333333334,0.6041666666666666,0.6080729166666666,0.6184895833333334,0.6119791666666666,0.625,0.6302083333333334,0.6328125,0.6341145833333334,0.62890625,0.6223958333333334,0.6328125,0.6484375,0.6575520833333334,0.65625,0.6510416666666666
40,0.5455729166666666,0.5481770833333334,0.55859375,0.5833333333333334,0.6002604166666666,0.6067708333333334,0.6145833333333334,0.6158854166666666,0.625,0.6302083333333334,0.6380208333333334,0.6315104166666666,0.64453125,0.6432291666666666,0.6419270833333334,0.6419270833333334,0.6575520833333334,0.65625,0.65625,0.6614583333333334
50,0.5572916666666666,0.5611979166666666,0.5768229166666666,0.59375,0.5911458333333334,0.5950520833333334,0.6119791666666666,0.6106770833333334,0.6276041666666666,0.6223958333333334,0.6328125,0.6223958333333334,0.63671875,0.6380208333333334,0.63671875,0.65625,0.6471354166666666,0.6510416666666666,0.6614583333333334,0.6653645833333334
