,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b1,0.06477864583333333,0.11051432291666667,0.16552734375,0.197265625,0.23404947916666666,0.2962239583333333,0.3277994791666667,0.376953125,0.4212239583333333,0.4186197916666667,0.44921875,0.4908854166666667,0.4973958333333333,0.5091145833333334,0.5338541666666666,0.5455729166666666,0.5559895833333334,0.5768229166666666,0.5846354166666666,0.58984375
baseline,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334,0.6614583333333334
efficientnet-b0,0.5833333333333334,0.59375,0.60546875,0.6106770833333334,0.6145833333333334,0.6145833333333334,0.6197916666666666,0.6197916666666666,0.6236979166666666,0.62109375,0.62890625,0.6315104166666666,0.6380208333333334,0.6380208333333334,0.6393229166666666,0.640625,0.6393229166666666,0.6458333333333334,0.6497395833333334,0.6471354166666666
efficientnet-b2,0.5625,0.5651041666666666,0.5755208333333334,0.6028645833333334,0.6080729166666666,0.6236979166666666,0.6171875,0.6302083333333334,0.609375,0.6263020833333334,0.6328125,0.6341145833333334,0.6223958333333334,0.6328125,0.640625,0.6354166666666666,0.65625,0.6471354166666666,0.6536458333333334,0.6588541666666666
