,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
efficientnet-b1,0.2903645833333333,0.39453125,0.4602864583333333,0.5598958333333334,0.6197916666666666,0.6510416666666666,0.7018229166666666,0.7252604166666666,0.7526041666666666,0.78125,0.80078125,0.8059895833333334,0.80078125,0.80859375,0.8385416666666666,0.83984375,0.8411458333333334,0.8502604166666666,0.859375,0.8619791666666666
baseline,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625
efficientnet-b0,0.890625,0.8984375,0.8984375,0.90234375,0.90234375,0.8984375,0.8984375,0.90625,0.8984375,0.91015625,0.90625,0.90625,0.90625,0.91015625,0.91015625,0.9140625,0.91015625,0.90625,0.91015625,0.91015625
efficientnet-b2,0.8723958333333334,0.8854166666666666,0.88671875,0.8880208333333334,0.8776041666666666,0.8880208333333334,0.8802083333333334,0.8736979166666666,0.8880208333333334,0.8828125,0.8880208333333334,0.8880208333333334,0.890625,0.8932291666666666,0.890625,0.8932291666666666,0.890625,0.89453125,0.89453125,0.8932291666666666
