,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
resnet_32,0.0544921875,0.09482421875,0.121875,0.155859375,0.1876953125,0.223828125,0.23984375,0.26171875,0.28671875,0.3125,0.333203125,0.337109375,0.37421875,0.36953125,0.398046875,0.3953125,0.401953125,0.412109375,0.43984375,0.444921875
baseline,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125,0.5828125
resnet_14,0.404296875,0.4407552083333333,0.4596354166666667,0.4694010416666667,0.478515625,0.4837239583333333,0.4895833333333333,0.494140625,0.4973958333333333,0.5,0.5045572916666666,0.5052083333333334,0.5078125,0.5104166666666666,0.5104166666666666,0.51171875,0.5130208333333334,0.5130208333333334,0.5143229166666666,0.5143229166666666
resnet_20,0.5260416666666666,0.5416666666666666,0.5442708333333334,0.546875,0.546875,0.5494791666666666,0.5494791666666666,0.5494791666666666,0.5546875,0.5494791666666666,0.5546875,0.5546875,0.5533854166666666,0.5559895833333334,0.5572916666666666,0.5546875,0.5559895833333334,0.5546875,0.5559895833333334,0.55859375
resnet_26,0.5494791666666666,0.5533854166666666,0.5572916666666666,0.55859375,0.5625,0.5638020833333334,0.5651041666666666,0.5651041666666666,0.5651041666666666,0.56640625,0.5677083333333334,0.5690104166666666,0.56640625,0.56640625,0.5677083333333334,0.5703125,0.5716145833333334,0.5703125,0.5677083333333334,0.5729166666666666
